SampleID,ratio_in_reads,ratio_raw,ichorCNA,spike_in_ratio,spike_in_label
K2AA15_spike_in__001_from_ZNC04S_label_CRC_replicate_0,0.0004183473189166199,0.0002124311147853826,0.03899,0.01,PAN_CANCER
KABT41_spike_in__001_from_ZNC19S_label_CRC_replicate_1,0.0004870734614811503,0.0002326512455516014,0.02879,0.01,PAN_CANCER
K2AA15_spike_in__005_from_ZNC03S_label_CRC_replicate_1,0.0004194514062935116,0.0002129223549035753,0.05429,0.05,PAN_CANCER
K0GAAA73_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_1,0.0004514749601765011,0.0002276542958228951,0.02104,0.001,PAN_CANCER
KAAG58_spike_in__0001_from_ZMH056S_label_Liver_replicate_2,0.0004405218647392981,0.0002278163335752778,0.02061,0.001,PAN_CANCER
K2AC24_spike_in__0001_from_ZNB22SR1_label_Breast_replicate_0,0.0004297548700839718,0.0002124567442611345,0.02331,0.001,PAN_CANCER
K0009_spike_in__0001_from_ZMG063S_label_Gastric_replicate_1,0.0004305248304334903,0.0002227639842318742,0.02591,0.001,PAN_CANCER
K1AB28_spike_in__01_from_ZNC05S_label_CRC_replicate_2,0.0004772138609234253,0.0002386527312673551,0.04993,0.1,PAN_CANCER
K0009_spike_in__0005_from_ZMG051S_label_Gastric_replicate_0,0.0004310194953698109,0.0002230294272365603,0.02586,0.005,PAN_CANCER
KAAB22_spike_in__001_from_ZMH056S_label_Liver_replicate_2,0.0004298878601162037,0.0002168525574362864,0.02317,0.01,PAN_CANCER
KACE35_spike_in__01_from_pool_Breast_label_Breast_replicate_2,0.0004331000692960111,0.0002100492284388905,0.03366,0.1,PAN_CANCER
K0GAAA73_spike_in__001_from_ZNB06SR3_label_Breast_replicate_1,0.0004528948723095589,0.0002284409132018169,0.02153,0.01,PAN_CANCER
K0GAAA73_spike_in__0001_from_ZNB03SR2_label_Breast_replicate_0,0.0004514749601765011,0.0002276688312778704,0.02089,0.001,PAN_CANCER
K2AC24_spike_in__005_from_ZNB06SR3_label_Breast_replicate_2,0.000430703938314792,0.0002131652966896989,0.03878,0.05,PAN_CANCER
K0793_spike_in__01_from_pool_Breast_label_Breast_replicate_1,0.0003999406616229046,0.0002072733255528954,0.03918,0.1,PAN_CANCER
K0106_spike_in__001_from_ZMG046S_label_Gastric_replicate_1,0.0004054211254352231,0.0002115930764581363,0.03503,0.01,PAN_CANCER
KAAK49_spike_in__01_from_ZNL15S_label_Lung_replicate_0,0.0004671421447665589,0.0002455592799105652,0.06618,0.1,PAN_CANCER
K0006_spike_in__0005_from_ZMG048S_label_Gastric_replicate_1,0.000463435009513282,0.0002376988018937703,0.02832,0.005,PAN_CANCER
K2AA15_spike_in__001_from_ZNC03S_label_CRC_replicate_1,0.0004166313014515435,0.0002114903181699694,0.052,0.01,PAN_CANCER
K0GAAA73_spike_in__005_from_ZNB06SR3_label_Breast_replicate_2,0.0004543115557389285,0.0002291677993518994,0.03335,0.05,PAN_CANCER
K4AA93_spike_in__0005_from_ZNB22SR1_label_Breast_replicate_2,0.0004702248048255653,0.0002441054988400947,0.02005,0.005,PAN_CANCER
K1586_spike_in__005_from_pool_Lung_label_Lung_replicate_0,0.0004196230595574387,0.0002194948201851117,0.02155,0.05,PAN_CANCER
K0793_spike_in__08_from_pool_Breast_label_Breast_replicate_2,0.0005182071559350227,0.0002735223559190767,0.1195,0.8,PAN_CANCER
K2AC24_spike_in__001_from_pool_Liver_label_Liver_replicate_1,0.0004295647971648723,0.0002123870558473161,0.02361,0.01,PAN_CANCER
K0009_spike_in__05_from_pool_Gastric_label_Gastric_replicate_1,0.0004549649174361115,0.000236570756101582,0.05397,0.5,PAN_CANCER
KABT41_spike_in__005_from_ZNC05S_label_CRC_replicate_2,0.0004881359714370723,0.0002329936803237946,0.03409,0.05,PAN_CANCER
K0AI90_spike_in__0005_from_ZNC19S_label_CRC_replicate_1,0.0004444387737742847,0.0002228905383499702,0.02487,0.005,PAN_CANCER
K0043_spike_in__001_from_ZMG051S_label_Gastric_replicate_2,0.0005017555482263633,0.0002586279908010055,0.02759,0.01,PAN_CANCER
K1936_spike_in__01_from_pool_Liver_label_Liver_replicate_2,0.0004155989284380594,0.000217548981345571,0.05058,0.1,PAN_CANCER
K0033_spike_in__0005_from_pool_Gastric_label_Gastric_replicate_2,0.0004748254102338665,0.0002429219461421802,0.02113,0.005,PAN_CANCER
K2AC24_spike_in__001_from_ZMH056S_label_Liver_replicate_1,0.0004259039093642912,0.0002106246109151276,0.02397,0.01,PAN_CANCER
K0AQ69_spike_in__01_from_ZNL14S_label_Lung_replicate_1,0.0005478503492800554,0.000290867412036937,0.02952,0.1,PAN_CANCER
LBGS087_spike_in__01_from_ZNL15S_label_Lung_replicate_1,0.000423247981772481,0.000219600723104961,0.05939,0.1,PAN_CANCER
K0435_spike_in__001_from_ZNB06SR3_label_Breast_replicate_1,0.0004180955839892693,0.0002128541837028419,0.0198,0.01,PAN_CANCER
K0033_spike_in__08_from_pool_Gastric_label_Gastric_replicate_0,0.000546420263658385,0.0002854674529542125,0.08018,0.8,PAN_CANCER
K1936_spike_in__0001_from_ZMH050S_label_Liver_replicate_2,0.0004156264200660164,0.0002173183958369681,0.03217,0.001,PAN_CANCER
K0CAAA80_spike_in__0005_from_ZNL14S_label_Lung_replicate_2,0.0005062015224813843,0.0002415861159349039,0.02961,0.005,PAN_CANCER
K0038_spike_in__0001_from_ZMG046S_label_Gastric_replicate_0,0.0004849917011280839,0.0002484608112159015,0.0287,0.001,PAN_CANCER
KABT41_spike_in__0005_from_ZNC19S_label_CRC_replicate_0,0.0004857174821002387,0.0002319596808662203,0.02847,0.005,PAN_CANCER
K0038_spike_in__01_from_ZMG051S_label_Gastric_replicate_0,0.0004857757056310896,0.0002489612307269668,0.02897,0.1,PAN_CANCER
K2474_spike_in__0001_from_ZMH051S_label_Liver_replicate_2,0.0004507114802652759,0.0002318860697992845,0.04296,0.001,PAN_CANCER
K4AC16_spike_in__01_from_ZNC05S_label_CRC_replicate_1,0.0004351385972557875,0.0002150113835313679,0.03104,0.1,PAN_CANCER
LBGS087_spike_in__005_from_ZNB22SR1_label_Breast_replicate_2,0.0004191491224874223,0.000217385863305316,0.04893,0.05,PAN_CANCER
K0AAAE18_spike_in__005_from_ZMH056S_label_Liver_replicate_1,0.0004467233059398718,0.0002262033647673148,0.03681,0.05,PAN_CANCER
K1586_spike_in__0005_from_ZNL08S_label_Lung_replicate_1,0.0004163698933745631,0.0002176460249575253,0.01913,0.005,PAN_CANCER
K0064_spike_in__005_from_ZMG051S_label_Gastric_replicate_2,0.0004406124237224994,0.0002279671358124901,0.03865,0.05,PAN_CANCER
K2AC24_spike_in__0001_from_ZNL14S_label_Lung_replicate_0,0.0004297548700839718,0.0002124799838962538,0.02349,0.001,PAN_CANCER
K2070_spike_in__001_from_ZMH050S_label_Liver_replicate_2,0.0004682013265704253,0.0002387980498159265,0.01882,0.01,PAN_CANCER
K0043_spike_in__0001_from_ZMG059S_label_Gastric_replicate_2,0.0005015641069080792,0.000258523019371762,0.02816,0.001,PAN_CANCER
K0106_spike_in__0001_from_ZNB22SR1_label_Breast_replicate_1,0.0004054991210345757,0.0002116887045433087,0.03517,0.001,PAN_CANCER
K1936_spike_in__0005_from_pool_Lung_label_Lung_replicate_2,0.0004159706584887431,0.0002175212513362915,0.03199,0.005,PAN_CANCER
K0AAAE18_spike_in__0001_from_ZMH050S_label_Liver_replicate_2,0.0004473323413513771,0.0002263722186246605,0.01867,0.001,PAN_CANCER
K0AC37_spike_in__001_from_ZNL08S_label_Lung_replicate_1,0.000460714491390398,0.0002340378848826154,0.04714,0.01,PAN_CANCER
K0AAAE18_spike_in__001_from_ZMH053S_label_Liver_replicate_2,0.0004470243460736634,0.0002262460048915875,0.01841,0.01,PAN_CANCER
K0435_spike_in__0005_from_ZNB03SR2_label_Breast_replicate_1,0.0004173219989000067,0.000212434151552734,0.02206,0.005,PAN_CANCER
K2AC24_spike_in__001_from_ZNB32S_label_Breast_replicate_0,0.0004297548700839718,0.0002124102802383327,0.02715,0.01,PAN_CANCER
K1AD22_spike_in__001_from_ZNL08S_label_Lung_replicate_0,0.0004747926305246133,0.0002331420220290467,0.03329,0.01,PAN_CANCER
K1936_spike_in__001_from_ZMH053S_label_Liver_replicate_0,0.0004155043475437854,0.0002172599903708367,0.03298,0.01,PAN_CANCER
LBGS087_spike_in__005_from_pool_Breast_label_Breast_replicate_0,0.0004186123635136793,0.0002170802249979994,0.03656,0.05,PAN_CANCER
K0AAAE18_spike_in__0001_from_ZMH048S_label_Liver_replicate_2,0.0004473939913432943,0.0002263643261409207,0.0187,0.001,PAN_CANCER
K0AQ69_spike_in__005_from_ZNL09S_label_Lung_replicate_1,0.0005449144730103452,0.0002887193235718705,0.03264,0.05,PAN_CANCER
K1586_spike_in__01_from_ZNL14S_label_Lung_replicate_0,0.0004191182441865769,0.0002191809989999413,0.0307,0.1,PAN_CANCER
CRCC5_spike_in__0005_from_ZMG059S_label_Gastric_replicate_1,0.0004559287888219496,0.0002335619496104953,0.01787,0.005,PAN_CANCER
LBGS087_spike_in__005_from_pool_Lung_label_Lung_replicate_2,0.0004193522443961902,0.0002176213686297306,0.03844,0.05,PAN_CANCER
K1586_spike_in__001_from_ZNL08S_label_Lung_replicate_2,0.0004172140851475145,0.0002181454881071179,0.02161,0.01,PAN_CANCER
KZAU93_spike_in__0005_from_pool_CRC_label_CRC_replicate_0,0.0004981559544525402,0.0002368068643910598,0.0329,0.005,PAN_CANCER
K2AC24_spike_in__01_from_ZNL14S_label_Lung_replicate_2,0.0004261187013019673,0.0002111373936784772,0.03315,0.1,PAN_CANCER
KZAZ52_spike_in__001_from_pool_CRC_label_CRC_replicate_0,0.0004462349395707895,0.0002099298998785308,0.03506,0.01,PAN_CANCER
K4AC16_spike_in__0005_from_ZNC05S_label_CRC_replicate_0,0.0004318033572503028,0.0002130841379346588,0.02431,0.005,PAN_CANCER
K0AI90_spike_in__0005_from_ZNC05S_label_CRC_replicate_0,0.0004435858519523858,0.0002224063667671535,0.02562,0.005,PAN_CANCER
K0033_spike_in__0001_from_ZMG059S_label_Gastric_replicate_1,0.0004746215395427503,0.0002428187840193642,0.021,0.001,PAN_CANCER
K4AC10_spike_in__001_from_ZNB05S_label_Breast_replicate_1,0.000674478604678412,0.000340129185514947,0.0805,0.01,PAN_CANCER
K0043_spike_in__005_from_ZMG048S_label_Gastric_replicate_0,0.0005026755040493569,0.0002591477118655189,0.0306,0.05,PAN_CANCER
KZAU93_spike_in__01_from_ZNC03S_label_CRC_replicate_0,0.0005049854272127627,0.0002401457097954355,0.05077,0.1,PAN_CANCER
KAAK49_spike_in__0001_from_ZNL08S_label_Lung_replicate_0,0.0004596449765392991,0.0002413185360440632,0.01898,0.001,PAN_CANCER
KAAB22_spike_in__05_from_pool_Liver_label_Liver_replicate_0,0.0004293451639943714,0.0002176911757625994,0.1398,0.5,PAN_CANCER
K0793_spike_in__0001_from_ZNB05S_label_Breast_replicate_2,0.0003950298067945127,0.0002044733185554889,0.02519,0.001,PAN_CANCER
K1586_spike_in__005_from_ZNL07S_label_Lung_replicate_1,0.0004193087205062037,0.0002192296468449443,0.02326,0.05,PAN_CANCER
K0GAAA73_spike_in__0005_from_pool_Breast_label_Breast_replicate_0,0.0004516905884634276,0.0002277768278944052,0.02109,0.005,PAN_CANCER
K0AAAB33_spike_in__0001_from_ZNC03S_label_CRC_replicate_2,0.0004862841274784595,0.0002546132731818676,0.02623,0.001,PAN_CANCER
K0043_spike_in__0001_from_ZMG063S_label_Gastric_replicate_0,0.0005014824986902289,0.000258512177559249,0.02802,0.001,PAN_CANCER
K1586_spike_in__0001_from_ZMH048S_label_Liver_replicate_2,0.0004163698933745631,0.0002176352509352018,0.01732,0.001,PAN_CANCER
KAAG58_spike_in__0005_from_ZMH051S_label_Liver_replicate_0,0.0004404638975224103,0.0002277775774367362,0.02022,0.005,PAN_CANCER
K1936_spike_in__01_from_ZMH051S_label_Liver_replicate_0,0.0004156510816994674,0.0002174055322008166,0.07524,0.1,PAN_CANCER
KABT41_spike_in__01_from_pool_CRC_label_CRC_replicate_0,0.000492982521107984,0.0002356194690265487,0.03433,0.1,PAN_CANCER
K2070_spike_in__0001_from_ZMH056S_label_Liver_replicate_0,0.0004686035613870666,0.0002389724186000199,0.01923,0.001,PAN_CANCER
K1586_spike_in__01_from_ZNL14S_label_Lung_replicate_1,0.0004182023476093462,0.0002188143668010126,0.03141,0.1,PAN_CANCER
K0AAAB33_spike_in__0001_from_ZNC19S_label_CRC_replicate_1,0.0004865075246497146,0.0002547692809391815,0.02587,0.001,PAN_CANCER
KZAU93_spike_in__0005_from_ZNC19S_label_CRC_replicate_2,0.0004985802245967485,0.0002369909925736927,0.03244,0.005,PAN_CANCER
K0AI90_spike_in__005_from_ZNC01S_label_CRC_replicate_2,0.00044600409438429,0.0002236399770369938,0.02342,0.05,PAN_CANCER
K1AB28_spike_in__01_from_ZNC05S_label_CRC_replicate_0,0.0004728458180170761,0.0002362410219135193,0.05461,0.1,PAN_CANCER
K0435_spike_in__005_from_ZNB05S_label_Breast_replicate_1,0.0004180991297828259,0.0002130049658566769,0.01994,0.05,PAN_CANCER
K2AC24_spike_in__0001_from_ZNB32S_label_Breast_replicate_1,0.0004297548700839718,0.0002124799838962538,0.02345,0.001,PAN_CANCER
K2AC24_spike_in__0005_from_ZMH050S_label_Liver_replicate_2,0.0004295647971648723,0.0002124102802383327,0.02281,0.005,PAN_CANCER
K0435_spike_in__01_from_ZNB32S_label_Breast_replicate_0,0.0004197230998613609,0.0002136197273551236,0.02411,0.1,PAN_CANCER
K0038_spike_in__005_from_pool_Gastric_label_Gastric_replicate_0,0.000485246489527417,0.0002486633626407704,0.03132,0.05,PAN_CANCER
K0AAAB33_spike_in__001_from_ZNC03S_label_CRC_replicate_2,0.0004852356865971894,0.0002541346798749021,0.02956,0.01,PAN_CANCER
K2AC24_spike_in__0001_from_ZNB32S_label_Breast_replicate_2,0.0004297548700839718,0.0002124799838962538,0.02319,0.001,PAN_CANCER
K0435_spike_in__0005_from_ZNB32S_label_Breast_replicate_1,0.0004173592498148421,0.000212434151552734,0.02181,0.005,PAN_CANCER
K4AC16_spike_in__0001_from_ZNC01S_label_CRC_replicate_0,0.0004318527966088156,0.0002131323007052831,0.02395,0.001,PAN_CANCER
K0AAAB33_spike_in__001_from_ZNC04S_label_CRC_replicate_1,0.0004864065580574868,0.0002546585538110501,0.02618,0.01,PAN_CANCER
K0033_spike_in__05_from_ZMG048S_label_Gastric_replicate_1,0.0005181103103951768,0.0002669199185029701,0.1368,0.5,PAN_CANCER
KACE35_spike_in__005_from_ZNB05S_label_Breast_replicate_0,0.0004273070232987553,0.0002070250500310537,0.02845,0.05,PAN_CANCER
K0103_spike_in__05_from_ZMG059S_label_Gastric_replicate_0,0.000524011445513152,0.0002748975162768266,0.05435,0.5,PAN_CANCER
K0805_spike_in__005_from_ZMH056S_label_Liver_replicate_1,0.00042178887748508,0.0002139273325714004,0.04647,0.05,PAN_CANCER
KACE35_spike_in__0001_from_ZNB06SR3_label_Breast_replicate_2,0.0004301705206997686,0.0002083258984333178,0.02629,0.001,PAN_CANCER
KZAZ52_spike_in__005_from_ZNC19S_label_CRC_replicate_1,0.0004453750236514514,0.0002093323120157724,0.03562,0.05,PAN_CANCER
K2070_spike_in__01_from_pool_Liver_label_Liver_replicate_2,0.0004667234632306081,0.0002382699780737054,0.03868,0.1,PAN_CANCER
K1586_spike_in__01_from_ZMH050S_label_Liver_replicate_0,0.0004149126210138653,0.0002171021214643473,0.03893,0.1,PAN_CANCER
K0CAAA80_spike_in__01_from_ZNL14S_label_Lung_replicate_1,0.0005089231745606489,0.0002432980826693815,0.02901,0.1,PAN_CANCER
K0AAAE20_spike_in__005_from_ZNB22SR1_label_Breast_replicate_1,0.0005099812713774477,0.0002584288269930395,0.04231,0.05,PAN_CANCER
K0793_spike_in__0001_from_ZNB32S_label_Breast_replicate_1,0.0003950298067945127,0.0002044733185554889,0.02595,0.001,PAN_CANCER
K2AC24_spike_in__0001_from_ZNB06SR3_label_Breast_replicate_0,0.0004295647971648723,0.0002124335097090499,0.02337,0.001,PAN_CANCER
K0AQ69_spike_in__0001_from_ZNL08S_label_Lung_replicate_2,0.0005424063116370809,0.0002876443669644803,0.03589,0.001,PAN_CANCER
K0AAAE20_spike_in__005_from_ZNB03SR2_label_Breast_replicate_2,0.0005069943172550006,0.000256665873110344,0.05405,0.05,PAN_CANCER
K2031_spike_in__0005_from_ZNL15S_label_Lung_replicate_0,0.0005194093300098803,0.000266006264398448,0.0254,0.005,PAN_CANCER
KAAK49_spike_in__005_from_pool_Lung_label_Lung_replicate_1,0.0004612938077375967,0.0002422530954562197,0.0206,0.05,PAN_CANCER
K2070_spike_in__0005_from_ZMH050S_label_Liver_replicate_0,0.0004687839251524781,0.000239096567328335,0.01896,0.005,PAN_CANCER
K4AA93_spike_in__005_from_ZNB32S_label_Breast_replicate_0,0.0004693304508802664,0.0002435784593460942,0.01477,0.05,PAN_CANCER
K0CAAA16_spike_in__01_from_pool_CRC_label_CRC_replicate_2,0.0004486853818674466,0.000228627234481389,0.01157,0.1,PAN_CANCER
K0106_spike_in__001_from_pool_Gastric_label_Gastric_replicate_1,0.0004057871175694014,0.0002117858765124503,0.03584,0.01,PAN_CANCER
K2071_spike_in__01_from_ZNC04S_label_CRC_replicate_2,0.0004275886395876859,0.0002228225935018067,0.04111,0.1,PAN_CANCER
K0805_spike_in__001_from_ZMH051S_label_Liver_replicate_0,0.0004221493388414352,0.0002138370852303251,0.02371,0.01,PAN_CANCER
K0033_spike_in__0005_from_ZMG048S_label_Gastric_replicate_0,0.0004748254102338665,0.0002428968392282076,0.02001,0.005,PAN_CANCER
K1936_spike_in__05_from_pool_Liver_label_Liver_replicate_1,0.0004168983052337605,0.0002188226077344509,0.1415,0.5,PAN_CANCER
K0CAAA80_spike_in__0005_from_pool_Lung_label_Lung_replicate_1,0.0005065696267495337,0.0002417446832682296,0.02985,0.005,PAN_CANCER
KAAK49_spike_in__0005_from_ZNL09S_label_Lung_replicate_2,0.0004598051761699087,0.00024141187329454,0.01885,0.005,PAN_CANCER
K0106_spike_in__08_from_pool_Gastric_label_Gastric_replicate_1,0.0005020816222492849,0.0002667093530011422,0.08286,0.8,PAN_CANCER
K0793_spike_in__01_from_ZNB03SR2_label_Breast_replicate_0,0.0004033599467731204,0.0002091351077477011,0.0621,0.1,PAN_CANCER
K2AA15_spike_in__01_from_ZNC03S_label_CRC_replicate_1,0.000423077856729192,0.000214858712784974,0.07681,0.1,PAN_CANCER
K2AC24_spike_in__01_from_pool_Lung_label_Lung_replicate_2,0.0004338352430453839,0.0002151272501895333,0.0313,0.1,PAN_CANCER
K0435_spike_in__01_from_pool_Breast_label_Breast_replicate_0,0.0004227257130368557,0.0002152262837373638,0.02887,0.1,PAN_CANCER
K0059_spike_in__001_from_ZMG051S_label_Gastric_replicate_1,0.0004594199979861041,0.0002391059403086759,0.03127,0.01,PAN_CANCER
K0AQ69_spike_in__005_from_ZNL14S_label_Lung_replicate_1,0.0005440350805294864,0.0002886246032091142,0.03228,0.05,PAN_CANCER
K1936_spike_in__0005_from_ZNL14S_label_Lung_replicate_2,0.0004155348589513007,0.0002173017053568916,0.03265,0.005,PAN_CANCER
K4AA93_spike_in__01_from_ZNB22SR1_label_Breast_replicate_1,0.0004734364991691654,0.0002458696312437629,0.04324,0.1,PAN_CANCER
KAAG58_spike_in__0005_from_ZMH053S_label_Liver_replicate_1,0.0004404349196344154,0.0002277775774367362,0.02093,0.005,PAN_CANCER
K2AA15_spike_in__01_from_pool_CRC_label_CRC_replicate_1,0.0004231818192315064,0.0002149292873847944,0.04301,0.1,PAN_CANCER
K2070_spike_in__0005_from_pool_Liver_label_Liver_replicate_1,0.0004686035613870666,0.0002389549702633815,0.01898,0.005,PAN_CANCER
K0038_spike_in__001_from_ZMG063S_label_Gastric_replicate_0,0.0004849946861451779,0.0002484953426930845,0.02713,0.01,PAN_CANCER
K2071_spike_in__0005_from_pool_CRC_label_CRC_replicate_2,0.000415145244605169,0.0002162125560138376,0.02783,0.005,PAN_CANCER
K2AA15_spike_in__0001_from_pool_CRC_label_CRC_replicate_2,0.0004167417771032376,0.0002115757314173035,0.05147,0.001,PAN_CANCER
K0AAAE20_spike_in__001_from_ZNB06SR3_label_Breast_replicate_0,0.0005059277376352878,0.0002561284692750075,0.04028,0.01,PAN_CANCER
K0AAAE20_spike_in__0005_from_ZNB06SR3_label_Breast_replicate_0,0.0005059277376352878,0.0002562318719674883,0.04038,0.005,PAN_CANCER
K0AC37_spike_in__001_from_ZNL08S_label_Lung_replicate_2,0.0004616958192106164,0.0002345701443019987,0.0474,0.01,PAN_CANCER
K0059_spike_in__005_from_ZMG046S_label_Gastric_replicate_2,0.0004596638753469711,0.0002393945118295663,0.02309,0.05,PAN_CANCER
KZAU93_spike_in__01_from_ZNC05S_label_CRC_replicate_2,0.0005006628407425291,0.0002378996641382165,0.03711,0.1,PAN_CANCER
KAAG58_spike_in__0001_from_ZMH050S_label_Liver_replicate_2,0.0004404928792237869,0.000227800829537332,0.02084,0.001,PAN_CANCER
KZAU93_spike_in__01_from_ZNC19S_label_CRC_replicate_1,0.0004996294261451838,0.0002373599269877361,0.05287,0.1,PAN_CANCER
K1586_spike_in__0001_from_ZMH051S_label_Liver_replicate_0,0.0004163698933745631,0.0002176675762026939,0.01741,0.001,PAN_CANCER
K4AA93_spike_in__01_from_pool_Breast_label_Breast_replicate_2,0.0004720061774194096,0.0002453089473793068,0.03541,0.1,PAN_CANCER
K4AA93_spike_in__0001_from_ZNB22SR1_label_Breast_replicate_1,0.0004699133976700516,0.0002439438395693397,0.01963,0.001,PAN_CANCER
K0AAAB33_spike_in__01_from_ZNC04S_label_CRC_replicate_2,0.0005014280568135035,0.0002628898661774228,0.03762,0.1,PAN_CANCER
K0AI90_spike_in__08_from_pool_CRC_label_CRC_replicate_2,0.0006652297703626833,0.0003423719528896193,0.09101,0.8,PAN_CANCER
LBGS087_spike_in__0001_from_ZNL14S_label_Lung_replicate_2,0.00041679543827286,0.000216133917123381,0.04067,0.001,PAN_CANCER
K0059_spike_in__0005_from_ZMG046S_label_Gastric_replicate_2,0.0004597664819406301,0.0002393658192314209,0.0287,0.005,PAN_CANCER
K0AC37_spike_in__005_from_ZNL09S_label_Lung_replicate_0,0.000461567204881298,0.0002344263406210309,0.0401,0.05,PAN_CANCER
K0106_spike_in__01_from_pool_Gastric_label_Gastric_replicate_2,0.0004088792525789696,0.0002138787514362769,0.03483,0.1,PAN_CANCER
KZAU93_spike_in__0005_from_ZNC03S_label_CRC_replicate_1,0.0004980580079416373,0.0002367847287709074,0.03265,0.005,PAN_CANCER
KACE35_spike_in__01_from_ZNB32S_label_Breast_replicate_0,0.0004321357869381625,0.0002093475914101937,0.02858,0.1,PAN_CANCER
KAAB22_spike_in__0001_from_ZMH056S_label_Liver_replicate_0,0.00042999028345065,0.0002168482678523995,0.02485,0.001,PAN_CANCER
K0009_spike_in__05_from_pool_Gastric_label_Gastric_replicate_0,0.0004567690792154274,0.0002371087788814222,0.05064,0.5,PAN_CANCER
K0AI90_spike_in__05_from_ZNC04S_label_CRC_replicate_1,0.0005584936114191937,0.000282726683464797,0.09505,0.5,PAN_CANCER
K1586_spike_in__0005_from_pool_Lung_label_Lung_replicate_2,0.0004163304644073875,0.0002176460249575253,0.01711,0.005,PAN_CANCER
K2070_spike_in__0001_from_ZMH053S_label_Liver_replicate_2,0.0004686035613870666,0.0002389898694849769,0.01916,0.001,PAN_CANCER
