,pos,chrom,region
80,36986705,chr9,chr9_36986086_36986754
81,36986710,chr9,chr9_36986086_36986754
82,36986712,chr9,chr9_36986086_36986754
83,36986718,chr9,chr9_36986086_36986754
84,36986733,chr9,chr9_36986086_36986754
85,36986742,chr9,chr9_36986086_36986754
86,36986753,chr9,chr9_36986086_36986754
0,29566026,chr7,chr7_29566025_29566674
1,29566034,chr7,chr7_29566025_29566674
2,29566056,chr7,chr7_29566025_29566674
3,29566064,chr7,chr7_29566025_29566674
4,29566075,chr7,chr7_29566025_29566674
5,29566080,chr7,chr7_29566025_29566674
6,29566090,chr7,chr7_29566025_29566674
7,29566095,chr7,chr7_29566025_29566674
8,29566139,chr7,chr7_29566025_29566674
9,29566192,chr7,chr7_29566025_29566674
10,29566212,chr7,chr7_29566025_29566674
11,29566221,chr7,chr7_29566025_29566674
12,29566233,chr7,chr7_29566025_29566674
13,29566253,chr7,chr7_29566025_29566674
14,29566257,chr7,chr7_29566025_29566674
15,29566266,chr7,chr7_29566025_29566674
16,29566281,chr7,chr7_29566025_29566674
17,29566306,chr7,chr7_29566025_29566674
18,29566325,chr7,chr7_29566025_29566674
19,29566335,chr7,chr7_29566025_29566674
20,29566341,chr7,chr7_29566025_29566674
21,29566344,chr7,chr7_29566025_29566674
22,29566359,chr7,chr7_29566025_29566674
23,29566376,chr7,chr7_29566025_29566674
24,29566410,chr7,chr7_29566025_29566674
25,29566424,chr7,chr7_29566025_29566674
26,29566431,chr7,chr7_29566025_29566674
27,29566440,chr7,chr7_29566025_29566674
28,29566446,chr7,chr7_29566025_29566674
29,29566457,chr7,chr7_29566025_29566674
30,29566466,chr7,chr7_29566025_29566674
31,29566469,chr7,chr7_29566025_29566674
32,29566478,chr7,chr7_29566025_29566674
33,29566498,chr7,chr7_29566025_29566674
34,29566524,chr7,chr7_29566025_29566674
35,29566530,chr7,chr7_29566025_29566674
36,29566533,chr7,chr7_29566025_29566674
37,29566536,chr7,chr7_29566025_29566674
38,29566563,chr7,chr7_29566025_29566674
39,29566575,chr7,chr7_29566025_29566674
40,29566585,chr7,chr7_29566025_29566674
41,29566588,chr7,chr7_29566025_29566674
42,29566604,chr7,chr7_29566025_29566674
43,29566606,chr7,chr7_29566025_29566674
44,29566611,chr7,chr7_29566025_29566674
45,29566615,chr7,chr7_29566025_29566674
46,29566639,chr7,chr7_29566025_29566674
47,29566641,chr7,chr7_29566025_29566674
48,29566646,chr7,chr7_29566025_29566674
49,29566655,chr7,chr7_29566025_29566674
50,29566661,chr7,chr7_29566025_29566674
51,29566673,chr7,chr7_29566025_29566674
0,19350219,chr2,chr2_19350218_19350866
1,19350221,chr2,chr2_19350218_19350866
2,19350229,chr2,chr2_19350218_19350866
3,19350263,chr2,chr2_19350218_19350866
4,19350294,chr2,chr2_19350218_19350866
5,19350306,chr2,chr2_19350218_19350866
6,19350326,chr2,chr2_19350218_19350866
7,19350328,chr2,chr2_19350218_19350866
8,19350331,chr2,chr2_19350218_19350866
9,19350366,chr2,chr2_19350218_19350866
10,19350373,chr2,chr2_19350218_19350866
11,19350386,chr2,chr2_19350218_19350866
12,19350403,chr2,chr2_19350218_19350866
13,19350409,chr2,chr2_19350218_19350866
14,19350445,chr2,chr2_19350218_19350866
15,19350469,chr2,chr2_19350218_19350866
16,19350491,chr2,chr2_19350218_19350866
17,19350551,chr2,chr2_19350218_19350866
18,19350553,chr2,chr2_19350218_19350866
19,19350557,chr2,chr2_19350218_19350866
20,19350560,chr2,chr2_19350218_19350866
21,19350562,chr2,chr2_19350218_19350866
22,19350567,chr2,chr2_19350218_19350866
23,19350571,chr2,chr2_19350218_19350866
24,19350596,chr2,chr2_19350218_19350866
25,19350610,chr2,chr2_19350218_19350866
26,19350612,chr2,chr2_19350218_19350866
27,19350616,chr2,chr2_19350218_19350866
28,19350622,chr2,chr2_19350218_19350866
29,19350628,chr2,chr2_19350218_19350866
30,19350630,chr2,chr2_19350218_19350866
31,19350636,chr2,chr2_19350218_19350866
32,19350638,chr2,chr2_19350218_19350866
33,19350647,chr2,chr2_19350218_19350866
34,19350668,chr2,chr2_19350218_19350866
35,19350693,chr2,chr2_19350218_19350866
36,19350696,chr2,chr2_19350218_19350866
37,19350757,chr2,chr2_19350218_19350866
38,19350763,chr2,chr2_19350218_19350866
39,19350781,chr2,chr2_19350218_19350866
40,19350786,chr2,chr2_19350218_19350866
41,19350800,chr2,chr2_19350218_19350866
42,19350804,chr2,chr2_19350218_19350866
43,19350849,chr2,chr2_19350218_19350866
44,19350851,chr2,chr2_19350218_19350866
45,19350865,chr2,chr2_19350218_19350866
0,123145981,chr10,chr10_123145980_123146613
1,123145985,chr10,chr10_123145980_123146613
2,123146011,chr10,chr10_123145980_123146613
3,123146051,chr10,chr10_123145980_123146613
4,123146073,chr10,chr10_123145980_123146613
5,123146096,chr10,chr10_123145980_123146613
6,123146119,chr10,chr10_123145980_123146613
7,123146128,chr10,chr10_123145980_123146613
8,123146148,chr10,chr10_123145980_123146613
9,123146155,chr10,chr10_123145980_123146613
10,123146174,chr10,chr10_123145980_123146613
11,123146177,chr10,chr10_123145980_123146613
12,123146186,chr10,chr10_123145980_123146613
13,123146198,chr10,chr10_123145980_123146613
14,123146200,chr10,chr10_123145980_123146613
15,123146215,chr10,chr10_123145980_123146613
16,123146217,chr10,chr10_123145980_123146613
17,123146225,chr10,chr10_123145980_123146613
18,123146227,chr10,chr10_123145980_123146613
19,123146234,chr10,chr10_123145980_123146613
20,123146239,chr10,chr10_123145980_123146613
21,123146242,chr10,chr10_123145980_123146613
22,123146259,chr10,chr10_123145980_123146613
23,123146262,chr10,chr10_123145980_123146613
24,123146265,chr10,chr10_123145980_123146613
25,123146267,chr10,chr10_123145980_123146613
26,123146270,chr10,chr10_123145980_123146613
27,123146282,chr10,chr10_123145980_123146613
28,123146301,chr10,chr10_123145980_123146613
29,123146314,chr10,chr10_123145980_123146613
30,123146365,chr10,chr10_123145980_123146613
31,123146374,chr10,chr10_123145980_123146613
32,123146398,chr10,chr10_123145980_123146613
33,123146404,chr10,chr10_123145980_123146613
34,123146411,chr10,chr10_123145980_123146613
35,123146425,chr10,chr10_123145980_123146613
36,123146436,chr10,chr10_123145980_123146613
37,123146441,chr10,chr10_123145980_123146613
38,123146446,chr10,chr10_123145980_123146613
39,123146448,chr10,chr10_123145980_123146613
40,123146464,chr10,chr10_123145980_123146613
41,123146472,chr10,chr10_123145980_123146613
42,123146487,chr10,chr10_123145980_123146613
43,123146493,chr10,chr10_123145980_123146613
44,123146495,chr10,chr10_123145980_123146613
45,123146499,chr10,chr10_123145980_123146613
46,123146525,chr10,chr10_123145980_123146613
47,123146534,chr10,chr10_123145980_123146613
48,123146564,chr10,chr10_123145980_123146613
49,123146574,chr10,chr10_123145980_123146613
50,123146580,chr10,chr10_123145980_123146613
51,123146591,chr10,chr10_123145980_123146613
52,123146593,chr10,chr10_123145980_123146613
53,123146612,chr10,chr10_123145980_123146613
0,42104295,chr6,chr6_42104294_42104910
1,42104304,chr6,chr6_42104294_42104910
2,42104314,chr6,chr6_42104294_42104910
3,42104334,chr6,chr6_42104294_42104910
4,42104336,chr6,chr6_42104294_42104910
5,42104353,chr6,chr6_42104294_42104910
6,42104384,chr6,chr6_42104294_42104910
7,42104392,chr6,chr6_42104294_42104910
8,42104409,chr6,chr6_42104294_42104910
9,42104438,chr6,chr6_42104294_42104910
10,42104447,chr6,chr6_42104294_42104910
11,42104453,chr6,chr6_42104294_42104910
12,42104467,chr6,chr6_42104294_42104910
13,42104479,chr6,chr6_42104294_42104910
14,42104485,chr6,chr6_42104294_42104910
15,42104491,chr6,chr6_42104294_42104910
16,42104494,chr6,chr6_42104294_42104910
17,42104500,chr6,chr6_42104294_42104910
18,42104504,chr6,chr6_42104294_42104910
19,42104522,chr6,chr6_42104294_42104910
20,42104524,chr6,chr6_42104294_42104910
21,42104527,chr6,chr6_42104294_42104910
22,42104532,chr6,chr6_42104294_42104910
23,42104536,chr6,chr6_42104294_42104910
24,42104539,chr6,chr6_42104294_42104910
25,42104558,chr6,chr6_42104294_42104910
26,42104561,chr6,chr6_42104294_42104910
27,42104563,chr6,chr6_42104294_42104910
28,42104575,chr6,chr6_42104294_42104910
29,42104582,chr6,chr6_42104294_42104910
30,42104584,chr6,chr6_42104294_42104910
31,42104586,chr6,chr6_42104294_42104910
32,42104591,chr6,chr6_42104294_42104910
33,42104594,chr6,chr6_42104294_42104910
34,42104602,chr6,chr6_42104294_42104910
35,42104604,chr6,chr6_42104294_42104910
36,42104607,chr6,chr6_42104294_42104910
37,42104614,chr6,chr6_42104294_42104910
38,42104623,chr6,chr6_42104294_42104910
39,42104630,chr6,chr6_42104294_42104910
40,42104635,chr6,chr6_42104294_42104910
41,42104661,chr6,chr6_42104294_42104910
42,42104665,chr6,chr6_42104294_42104910
43,42104674,chr6,chr6_42104294_42104910
44,42104694,chr6,chr6_42104294_42104910
45,42104699,chr6,chr6_42104294_42104910
46,42104707,chr6,chr6_42104294_42104910
47,42104710,chr6,chr6_42104294_42104910
48,42104718,chr6,chr6_42104294_42104910
49,42104732,chr6,chr6_42104294_42104910
50,42104736,chr6,chr6_42104294_42104910
51,42104747,chr6,chr6_42104294_42104910
52,42104754,chr6,chr6_42104294_42104910
53,42104773,chr6,chr6_42104294_42104910
54,42104776,chr6,chr6_42104294_42104910
55,42104781,chr6,chr6_42104294_42104910
56,42104783,chr6,chr6_42104294_42104910
57,42104785,chr6,chr6_42104294_42104910
58,42104789,chr6,chr6_42104294_42104910
59,42104791,chr6,chr6_42104294_42104910
60,42104799,chr6,chr6_42104294_42104910
61,42104801,chr6,chr6_42104294_42104910
62,42104809,chr6,chr6_42104294_42104910
63,42104816,chr6,chr6_42104294_42104910
64,42104822,chr6,chr6_42104294_42104910
65,42104827,chr6,chr6_42104294_42104910
66,42104836,chr6,chr6_42104294_42104910
67,42104840,chr6,chr6_42104294_42104910
68,42104871,chr6,chr6_42104294_42104910
69,42104889,chr6,chr6_42104294_42104910
70,42104909,chr6,chr6_42104294_42104910
0,72920276,chr2,chr2_72920275_72920885
1,72920279,chr2,chr2_72920275_72920885
2,72920303,chr2,chr2_72920275_72920885
3,72920309,chr2,chr2_72920275_72920885
4,72920315,chr2,chr2_72920275_72920885
5,72920352,chr2,chr2_72920275_72920885
6,72920362,chr2,chr2_72920275_72920885
7,72920364,chr2,chr2_72920275_72920885
8,72920394,chr2,chr2_72920275_72920885
9,72920400,chr2,chr2_72920275_72920885
10,72920408,chr2,chr2_72920275_72920885
11,72920430,chr2,chr2_72920275_72920885
12,72920442,chr2,chr2_72920275_72920885
13,72920453,chr2,chr2_72920275_72920885
14,72920455,chr2,chr2_72920275_72920885
15,72920463,chr2,chr2_72920275_72920885
16,72920466,chr2,chr2_72920275_72920885
17,72920469,chr2,chr2_72920275_72920885
18,72920478,chr2,chr2_72920275_72920885
19,72920484,chr2,chr2_72920275_72920885
20,72920491,chr2,chr2_72920275_72920885
21,72920494,chr2,chr2_72920275_72920885
22,72920502,chr2,chr2_72920275_72920885
23,72920515,chr2,chr2_72920275_72920885
24,72920539,chr2,chr2_72920275_72920885
25,72920544,chr2,chr2_72920275_72920885
26,72920549,chr2,chr2_72920275_72920885
27,72920558,chr2,chr2_72920275_72920885
28,72920561,chr2,chr2_72920275_72920885
29,72920564,chr2,chr2_72920275_72920885
30,72920566,chr2,chr2_72920275_72920885
31,72920581,chr2,chr2_72920275_72920885
32,72920591,chr2,chr2_72920275_72920885
33,72920609,chr2,chr2_72920275_72920885
34,72920626,chr2,chr2_72920275_72920885
35,72920638,chr2,chr2_72920275_72920885
36,72920642,chr2,chr2_72920275_72920885
37,72920660,chr2,chr2_72920275_72920885
38,72920669,chr2,chr2_72920275_72920885
39,72920674,chr2,chr2_72920275_72920885
40,72920682,chr2,chr2_72920275_72920885
41,72920685,chr2,chr2_72920275_72920885
42,72920687,chr2,chr2_72920275_72920885
43,72920693,chr2,chr2_72920275_72920885
44,72920696,chr2,chr2_72920275_72920885
45,72920698,chr2,chr2_72920275_72920885
46,72920700,chr2,chr2_72920275_72920885
47,72920708,chr2,chr2_72920275_72920885
48,72920711,chr2,chr2_72920275_72920885
49,72920717,chr2,chr2_72920275_72920885
50,72920724,chr2,chr2_72920275_72920885
51,72920729,chr2,chr2_72920275_72920885
52,72920746,chr2,chr2_72920275_72920885
53,72920752,chr2,chr2_72920275_72920885
54,72920758,chr2,chr2_72920275_72920885
55,72920770,chr2,chr2_72920275_72920885
56,72920777,chr2,chr2_72920275_72920885
57,72920783,chr2,chr2_72920275_72920885
58,72920787,chr2,chr2_72920275_72920885
59,72920789,chr2,chr2_72920275_72920885
60,72920796,chr2,chr2_72920275_72920885
61,72920810,chr2,chr2_72920275_72920885
62,72920813,chr2,chr2_72920275_72920885
63,72920831,chr2,chr2_72920275_72920885
64,72920838,chr2,chr2_72920275_72920885
65,72920852,chr2,chr2_72920275_72920885
66,72920869,chr2,chr2_72920275_72920885
67,72920884,chr2,chr2_72920275_72920885
0,56798240,chr14,chr14_56798239_56798843
1,56798246,chr14,chr14_56798239_56798843
2,56798251,chr14,chr14_56798239_56798843
3,56798265,chr14,chr14_56798239_56798843
4,56798273,chr14,chr14_56798239_56798843
5,56798275,chr14,chr14_56798239_56798843
6,56798288,chr14,chr14_56798239_56798843
7,56798292,chr14,chr14_56798239_56798843
8,56798295,chr14,chr14_56798239_56798843
9,56798300,chr14,chr14_56798239_56798843
10,56798305,chr14,chr14_56798239_56798843
11,56798307,chr14,chr14_56798239_56798843
12,56798311,chr14,chr14_56798239_56798843
13,56798337,chr14,chr14_56798239_56798843
14,56798341,chr14,chr14_56798239_56798843
15,56798354,chr14,chr14_56798239_56798843
16,56798367,chr14,chr14_56798239_56798843
17,56798378,chr14,chr14_56798239_56798843
18,56798380,chr14,chr14_56798239_56798843
19,56798384,chr14,chr14_56798239_56798843
20,56798395,chr14,chr14_56798239_56798843
21,56798401,chr14,chr14_56798239_56798843
22,56798408,chr14,chr14_56798239_56798843
23,56798417,chr14,chr14_56798239_56798843
24,56798419,chr14,chr14_56798239_56798843
25,56798429,chr14,chr14_56798239_56798843
26,56798440,chr14,chr14_56798239_56798843
27,56798443,chr14,chr14_56798239_56798843
28,56798449,chr14,chr14_56798239_56798843
29,56798465,chr14,chr14_56798239_56798843
30,56798469,chr14,chr14_56798239_56798843
31,56798476,chr14,chr14_56798239_56798843
32,56798478,chr14,chr14_56798239_56798843
33,56798508,chr14,chr14_56798239_56798843
34,56798550,chr14,chr14_56798239_56798843
35,56798573,chr14,chr14_56798239_56798843
36,56798588,chr14,chr14_56798239_56798843
37,56798619,chr14,chr14_56798239_56798843
38,56798636,chr14,chr14_56798239_56798843
39,56798639,chr14,chr14_56798239_56798843
40,56798662,chr14,chr14_56798239_56798843
41,56798698,chr14,chr14_56798239_56798843
42,56798743,chr14,chr14_56798239_56798843
43,56798752,chr14,chr14_56798239_56798843
44,56798754,chr14,chr14_56798239_56798843
45,56798757,chr14,chr14_56798239_56798843
46,56798764,chr14,chr14_56798239_56798843
47,56798769,chr14,chr14_56798239_56798843
48,56798773,chr14,chr14_56798239_56798843
49,56798781,chr14,chr14_56798239_56798843
50,56798799,chr14,chr14_56798239_56798843
51,56798815,chr14,chr14_56798239_56798843
52,56798822,chr14,chr14_56798239_56798843
53,56798831,chr14,chr14_56798239_56798843
54,56798834,chr14,chr14_56798239_56798843
55,56798842,chr14,chr14_56798239_56798843
0,50418878,chr1,chr1_50418877_50419478
1,50418880,chr1,chr1_50418877_50419478
2,50418894,chr1,chr1_50418877_50419478
3,50418910,chr1,chr1_50418877_50419478
4,50418914,chr1,chr1_50418877_50419478
5,50418917,chr1,chr1_50418877_50419478
6,50418919,chr1,chr1_50418877_50419478
7,50418926,chr1,chr1_50418877_50419478
8,50418934,chr1,chr1_50418877_50419478
9,50418938,chr1,chr1_50418877_50419478
10,50418940,chr1,chr1_50418877_50419478
11,50418943,chr1,chr1_50418877_50419478
12,50418949,chr1,chr1_50418877_50419478
13,50418961,chr1,chr1_50418877_50419478
14,50418974,chr1,chr1_50418877_50419478
15,50418977,chr1,chr1_50418877_50419478
16,50418986,chr1,chr1_50418877_50419478
17,50418990,chr1,chr1_50418877_50419478
18,50419001,chr1,chr1_50418877_50419478
19,50419010,chr1,chr1_50418877_50419478
20,50419019,chr1,chr1_50418877_50419478
21,50419027,chr1,chr1_50418877_50419478
22,50419030,chr1,chr1_50418877_50419478
23,50419052,chr1,chr1_50418877_50419478
24,50419060,chr1,chr1_50418877_50419478
25,50419063,chr1,chr1_50418877_50419478
26,50419070,chr1,chr1_50418877_50419478
27,50419079,chr1,chr1_50418877_50419478
28,50419082,chr1,chr1_50418877_50419478
29,50419102,chr1,chr1_50418877_50419478
30,50419105,chr1,chr1_50418877_50419478
31,50419108,chr1,chr1_50418877_50419478
32,50419111,chr1,chr1_50418877_50419478
33,50419114,chr1,chr1_50418877_50419478
34,50419117,chr1,chr1_50418877_50419478
35,50419120,chr1,chr1_50418877_50419478
36,50419123,chr1,chr1_50418877_50419478
37,50419126,chr1,chr1_50418877_50419478
38,50419129,chr1,chr1_50418877_50419478
39,50419132,chr1,chr1_50418877_50419478
40,50419135,chr1,chr1_50418877_50419478
41,50419137,chr1,chr1_50418877_50419478
42,50419148,chr1,chr1_50418877_50419478
43,50419150,chr1,chr1_50418877_50419478
44,50419153,chr1,chr1_50418877_50419478
45,50419177,chr1,chr1_50418877_50419478
46,50419180,chr1,chr1_50418877_50419478
47,50419196,chr1,chr1_50418877_50419478
48,50419199,chr1,chr1_50418877_50419478
49,50419213,chr1,chr1_50418877_50419478
50,50419217,chr1,chr1_50418877_50419478
51,50419230,chr1,chr1_50418877_50419478
52,50419252,chr1,chr1_50418877_50419478
53,50419267,chr1,chr1_50418877_50419478
54,50419270,chr1,chr1_50418877_50419478
55,50419273,chr1,chr1_50418877_50419478
56,50419276,chr1,chr1_50418877_50419478
57,50419303,chr1,chr1_50418877_50419478
58,50419308,chr1,chr1_50418877_50419478
59,50419311,chr1,chr1_50418877_50419478
60,50419327,chr1,chr1_50418877_50419478
61,50419329,chr1,chr1_50418877_50419478
